
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.617481e+00 cycle=59000 time=5.002079e+00 dt=8.677006e-05
elapsed=1.316658e+01 cycle=59100 time=5.010740e+00 dt=8.595109e-05
elapsed=2.367409e+01 cycle=59200 time=5.019256e+00 dt=8.411524e-05
elapsed=3.419676e+01 cycle=59300 time=5.027581e+00 dt=8.300744e-05
elapsed=4.471618e+01 cycle=59400 time=5.035825e+00 dt=8.220436e-05
elapsed=5.524515e+01 cycle=59500 time=5.044033e+00 dt=8.145452e-05
elapsed=6.576148e+01 cycle=59600 time=5.052022e+00 dt=7.833914e-05
elapsed=7.624794e+01 cycle=59700 time=5.059728e+00 dt=7.564576e-05
elapsed=8.677034e+01 cycle=59800 time=5.067183e+00 dt=7.348246e-05
elapsed=9.728153e+01 cycle=59900 time=5.074482e+00 dt=7.300193e-05
elapsed=1.078031e+02 cycle=60000 time=5.081935e+00 dt=7.629885e-05
elapsed=1.183041e+02 cycle=60100 time=5.089771e+00 dt=8.080459e-05
elapsed=1.288394e+02 cycle=60200 time=5.098153e+00 dt=8.553069e-05
elapsed=1.393815e+02 cycle=60300 time=5.106821e+00 dt=8.616436e-05
elapsed=1.499221e+02 cycle=60400 time=5.115342e+00 dt=8.765342e-05
elapsed=1.604630e+02 cycle=60500 time=5.123635e+00 dt=7.862471e-05
elapsed=1.710096e+02 cycle=60600 time=5.132308e+00 dt=9.166374e-05
elapsed=1.815554e+02 cycle=60700 time=5.141313e+00 dt=9.078075e-05
elapsed=1.921121e+02 cycle=60800 time=5.150386e+00 dt=9.063037e-05
elapsed=2.026420e+02 cycle=60900 time=5.159336e+00 dt=8.857474e-05
elapsed=2.132160e+02 cycle=61000 time=5.168096e+00 dt=8.623920e-05
elapsed=2.237721e+02 cycle=61100 time=5.176582e+00 dt=8.338469e-05
elapsed=2.343538e+02 cycle=61200 time=5.184694e+00 dt=7.890369e-05
elapsed=2.449180e+02 cycle=61300 time=5.192698e+00 dt=8.531116e-05
elapsed=2.554742e+02 cycle=61400 time=5.201127e+00 dt=8.244357e-05
elapsed=2.660042e+02 cycle=61500 time=5.209327e+00 dt=8.241326e-05
elapsed=2.765654e+02 cycle=61600 time=5.217640e+00 dt=8.255286e-05
elapsed=2.871296e+02 cycle=61700 time=5.225751e+00 dt=7.978415e-05
elapsed=2.976879e+02 cycle=61800 time=5.233643e+00 dt=8.066232e-05
elapsed=3.082450e+02 cycle=61900 time=5.242281e+00 dt=8.943142e-05
elapsed=3.188122e+02 cycle=62000 time=5.251196e+00 dt=8.812183e-05
elapsed=3.293586e+02 cycle=62100 time=5.259892e+00 dt=8.649132e-05
elapsed=3.399352e+02 cycle=62200 time=5.268427e+00 dt=8.517164e-05
elapsed=3.505186e+02 cycle=62300 time=5.276915e+00 dt=8.531073e-05
elapsed=3.611056e+02 cycle=62400 time=5.285457e+00 dt=8.525345e-05
elapsed=3.716972e+02 cycle=62500 time=5.293914e+00 dt=8.379482e-05
elapsed=3.822739e+02 cycle=62600 time=5.302338e+00 dt=8.444383e-05
elapsed=3.928445e+02 cycle=62700 time=5.310836e+00 dt=8.541610e-05
elapsed=4.033929e+02 cycle=62800 time=5.319394e+00 dt=8.584917e-05
elapsed=4.139900e+02 cycle=62900 time=5.328041e+00 dt=8.679007e-05
elapsed=4.245620e+02 cycle=63000 time=5.336871e+00 dt=9.002035e-05
elapsed=4.351473e+02 cycle=63100 time=5.345863e+00 dt=8.959629e-05
elapsed=4.457404e+02 cycle=63200 time=5.354793e+00 dt=8.821877e-05
elapsed=4.563300e+02 cycle=63300 time=5.363737e+00 dt=8.947858e-05
elapsed=4.669206e+02 cycle=63400 time=5.372595e+00 dt=8.617280e-05
elapsed=4.775118e+02 cycle=63500 time=5.381097e+00 dt=8.407181e-05
elapsed=4.880602e+02 cycle=63600 time=5.389595e+00 dt=8.732834e-05
elapsed=4.986310e+02 cycle=63700 time=5.398410e+00 dt=8.820765e-05
elapsed=5.092019e+02 cycle=63800 time=5.407258e+00 dt=8.878123e-05
elapsed=5.197772e+02 cycle=63900 time=5.416122e+00 dt=8.816533e-05
elapsed=5.303473e+02 cycle=64000 time=5.424938e+00 dt=8.821490e-05
elapsed=5.409256e+02 cycle=64100 time=5.433764e+00 dt=8.829764e-05
elapsed=5.515002e+02 cycle=64200 time=5.442610e+00 dt=8.830077e-05
elapsed=5.620633e+02 cycle=64300 time=5.451425e+00 dt=8.821511e-05
elapsed=5.726271e+02 cycle=64400 time=5.460179e+00 dt=8.680129e-05
elapsed=5.831624e+02 cycle=64500 time=5.468865e+00 dt=8.732607e-05
elapsed=5.937382e+02 cycle=64600 time=5.477682e+00 dt=8.900819e-05
elapsed=6.043055e+02 cycle=64700 time=5.486658e+00 dt=8.981215e-05
elapsed=6.148739e+02 cycle=64800 time=5.495579e+00 dt=8.889462e-05
elapsed=6.254461e+02 cycle=64900 time=5.504470e+00 dt=8.840394e-05
elapsed=6.360145e+02 cycle=65000 time=5.513199e+00 dt=8.616741e-05
elapsed=6.465856e+02 cycle=65100 time=5.521788e+00 dt=8.580953e-05
elapsed=6.571566e+02 cycle=65200 time=5.530353e+00 dt=8.456262e-05
elapsed=6.677013e+02 cycle=65300 time=5.538371e+00 dt=7.718008e-05
elapsed=6.782837e+02 cycle=65400 time=5.546554e+00 dt=8.588181e-05
elapsed=6.888595e+02 cycle=65500 time=5.555149e+00 dt=8.532631e-05
elapsed=6.994328e+02 cycle=65600 time=5.563646e+00 dt=8.476178e-05
elapsed=7.100125e+02 cycle=65700 time=5.572036e+00 dt=8.324124e-05
elapsed=7.205923e+02 cycle=65800 time=5.580306e+00 dt=8.236676e-05
elapsed=7.311576e+02 cycle=65900 time=5.588533e+00 dt=8.192437e-05
elapsed=7.417439e+02 cycle=66000 time=5.596374e+00 dt=7.422033e-05
elapsed=7.523478e+02 cycle=66100 time=5.603476e+00 dt=6.813980e-05
elapsed=7.629406e+02 cycle=66200 time=5.610784e+00 dt=8.091618e-05
elapsed=7.735200e+02 cycle=66300 time=5.618823e+00 dt=7.985638e-05
elapsed=7.841201e+02 cycle=66400 time=5.626746e+00 dt=7.868567e-05
elapsed=7.947169e+02 cycle=66500 time=5.634570e+00 dt=7.798575e-05
elapsed=8.053080e+02 cycle=66600 time=5.642181e+00 dt=7.724021e-05
elapsed=8.158822e+02 cycle=66700 time=5.649853e+00 dt=7.631992e-05
elapsed=8.264889e+02 cycle=66800 time=5.657489e+00 dt=7.619949e-05
elapsed=8.371003e+02 cycle=66900 time=5.665017e+00 dt=7.389843e-05
elapsed=8.477006e+02 cycle=67000 time=5.672241e+00 dt=7.024800e-05
elapsed=8.582677e+02 cycle=67100 time=5.678995e+00 dt=6.400732e-05
elapsed=8.688561e+02 cycle=67200 time=5.684976e+00 dt=5.981131e-05
elapsed=8.794573e+02 cycle=67300 time=5.692111e+00 dt=7.692399e-05
elapsed=8.900676e+02 cycle=67400 time=5.700023e+00 dt=7.832110e-05
elapsed=9.006568e+02 cycle=67500 time=5.707541e+00 dt=7.267621e-05
elapsed=9.112701e+02 cycle=67600 time=5.714336e+00 dt=6.368665e-05
elapsed=9.218917e+02 cycle=67700 time=5.721865e+00 dt=8.390097e-05
elapsed=9.325250e+02 cycle=67800 time=5.730621e+00 dt=8.923551e-05
elapsed=9.431254e+02 cycle=67900 time=5.739364e+00 dt=8.396356e-05
elapsed=9.537633e+02 cycle=68000 time=5.747772e+00 dt=8.711386e-05
elapsed=9.643812e+02 cycle=68100 time=5.756558e+00 dt=8.698782e-05
elapsed=9.749998e+02 cycle=68200 time=5.765247e+00 dt=8.695365e-05
elapsed=9.856184e+02 cycle=68300 time=5.773741e+00 dt=8.402573e-05
elapsed=9.962352e+02 cycle=68400 time=5.781983e+00 dt=8.236099e-05
elapsed=1.006858e+03 cycle=68500 time=5.790343e+00 dt=8.250106e-05
elapsed=1.017443e+03 cycle=68600 time=5.798496e+00 dt=8.175259e-05
elapsed=1.028055e+03 cycle=68700 time=5.806830e+00 dt=8.426605e-05
elapsed=1.038672e+03 cycle=68800 time=5.815306e+00 dt=8.411272e-05
elapsed=1.049278e+03 cycle=68900 time=5.823390e+00 dt=8.150829e-05
elapsed=1.059906e+03 cycle=69000 time=5.831599e+00 dt=8.406637e-05
elapsed=1.070500e+03 cycle=69100 time=5.839970e+00 dt=8.389444e-05
elapsed=1.081128e+03 cycle=69200 time=5.848506e+00 dt=8.761060e-05
elapsed=1.091743e+03 cycle=69300 time=5.857264e+00 dt=8.668387e-05
elapsed=1.102364e+03 cycle=69400 time=5.865779e+00 dt=8.399789e-05
elapsed=1.112979e+03 cycle=69500 time=5.874476e+00 dt=8.898265e-05
elapsed=1.123587e+03 cycle=69600 time=5.883032e+00 dt=8.207645e-05
elapsed=1.134202e+03 cycle=69700 time=5.891375e+00 dt=8.794225e-05
elapsed=1.144810e+03 cycle=69800 time=5.900408e+00 dt=9.171799e-05
elapsed=1.155386e+03 cycle=69900 time=5.909422e+00 dt=8.881165e-05
elapsed=1.165983e+03 cycle=70000 time=5.918195e+00 dt=8.771204e-05
elapsed=1.176582e+03 cycle=70100 time=5.926947e+00 dt=8.709337e-05
elapsed=1.187177e+03 cycle=70200 time=5.935731e+00 dt=8.804961e-05
elapsed=1.197756e+03 cycle=70300 time=5.944536e+00 dt=8.880411e-05
elapsed=1.208336e+03 cycle=70400 time=5.953536e+00 dt=9.173172e-05
elapsed=1.218913e+03 cycle=70500 time=5.962738e+00 dt=9.242372e-05
elapsed=1.229480e+03 cycle=70600 time=5.971951e+00 dt=9.085345e-05
elapsed=1.240054e+03 cycle=70700 time=5.980959e+00 dt=8.952557e-05
elapsed=1.250603e+03 cycle=70800 time=5.989879e+00 dt=8.888300e-05
elapsed=1.261181e+03 cycle=70900 time=5.998748e+00 dt=8.817147e-05
elapsed=1.271762e+03 cycle=71000 time=6.007194e+00 dt=8.373776e-05
elapsed=1.282331e+03 cycle=71100 time=6.015924e+00 dt=8.764788e-05
elapsed=1.292896e+03 cycle=71200 time=6.024593e+00 dt=8.569259e-05
elapsed=1.303464e+03 cycle=71300 time=6.033065e+00 dt=8.372063e-05
elapsed=1.314034e+03 cycle=71400 time=6.041356e+00 dt=8.255797e-05
elapsed=1.324729e+03 cycle=71500 time=6.049500e+00 dt=8.075266e-05
elapsed=1.335283e+03 cycle=71600 time=6.057606e+00 dt=8.040661e-05
elapsed=1.345847e+03 cycle=71700 time=6.065516e+00 dt=7.789290e-05
elapsed=1.356410e+03 cycle=71800 time=6.073329e+00 dt=7.921540e-05
elapsed=1.366970e+03 cycle=71900 time=6.081244e+00 dt=7.898275e-05
elapsed=1.377517e+03 cycle=72000 time=6.089409e+00 dt=8.528365e-05
elapsed=1.388094e+03 cycle=72100 time=6.097947e+00 dt=8.537360e-05
elapsed=1.398660e+03 cycle=72200 time=6.106426e+00 dt=8.414742e-05
elapsed=1.409237e+03 cycle=72300 time=6.114686e+00 dt=8.090347e-05
elapsed=1.419824e+03 cycle=72400 time=6.122575e+00 dt=7.695809e-05
elapsed=1.430397e+03 cycle=72500 time=6.130111e+00 dt=7.435630e-05
elapsed=1.440949e+03 cycle=72600 time=6.137594e+00 dt=7.612052e-05
elapsed=1.451525e+03 cycle=72700 time=6.144987e+00 dt=7.288680e-05
elapsed=1.462109e+03 cycle=72800 time=6.152039e+00 dt=6.956646e-05
elapsed=1.472669e+03 cycle=72900 time=6.159463e+00 dt=7.929537e-05
elapsed=1.483260e+03 cycle=73000 time=6.167884e+00 dt=8.789006e-05
elapsed=1.493875e+03 cycle=73100 time=6.176331e+00 dt=8.126060e-05
elapsed=1.504471e+03 cycle=73200 time=6.184195e+00 dt=7.600516e-05
elapsed=1.515059e+03 cycle=73300 time=6.191574e+00 dt=7.392524e-05
elapsed=1.525635e+03 cycle=73400 time=6.199934e+00 dt=8.606041e-05
elapsed=1.536253e+03 cycle=73500 time=6.208422e+00 dt=8.428253e-05
elapsed=1.546847e+03 cycle=73600 time=6.216876e+00 dt=8.525082e-05
elapsed=1.557454e+03 cycle=73700 time=6.225056e+00 dt=8.032855e-05
elapsed=1.568047e+03 cycle=73800 time=6.233493e+00 dt=8.635325e-05
elapsed=1.578647e+03 cycle=73900 time=6.242183e+00 dt=8.740399e-05
elapsed=1.589241e+03 cycle=74000 time=6.250972e+00 dt=8.822943e-05
elapsed=1.599814e+03 cycle=74100 time=6.259771e+00 dt=8.758885e-05
elapsed=1.610407e+03 cycle=74200 time=6.268452e+00 dt=8.614594e-05
elapsed=1.621001e+03 cycle=74300 time=6.277035e+00 dt=8.576284e-05
elapsed=1.631582e+03 cycle=74400 time=6.285562e+00 dt=8.453482e-05
elapsed=1.642161e+03 cycle=74500 time=6.294005e+00 dt=8.426585e-05
elapsed=1.652725e+03 cycle=74600 time=6.302380e+00 dt=8.367179e-05
elapsed=1.663292e+03 cycle=74700 time=6.310730e+00 dt=8.292457e-05
elapsed=1.673850e+03 cycle=74800 time=6.319010e+00 dt=8.269825e-05
elapsed=1.684413e+03 cycle=74900 time=6.327331e+00 dt=8.375522e-05
elapsed=1.694989e+03 cycle=75000 time=6.335728e+00 dt=8.400093e-05
elapsed=1.705558e+03 cycle=75100 time=6.344124e+00 dt=8.447577e-05
elapsed=1.716119e+03 cycle=75200 time=6.352563e+00 dt=8.414700e-05
elapsed=1.726672e+03 cycle=75300 time=6.360922e+00 dt=8.286727e-05
elapsed=1.737210e+03 cycle=75400 time=6.369153e+00 dt=8.189326e-05
elapsed=1.747769e+03 cycle=75500 time=6.377318e+00 dt=8.135559e-05
elapsed=1.758335e+03 cycle=75600 time=6.385239e+00 dt=7.775739e-05
elapsed=1.768880e+03 cycle=75700 time=6.392887e+00 dt=7.511292e-05
elapsed=1.779421e+03 cycle=75800 time=6.400659e+00 dt=8.512695e-05
elapsed=1.789939e+03 cycle=75900 time=6.409625e+00 dt=9.114198e-05
elapsed=1.800483e+03 cycle=76000 time=6.418781e+00 dt=9.150053e-05
elapsed=1.811043e+03 cycle=76100 time=6.427986e+00 dt=9.265823e-05
elapsed=1.821596e+03 cycle=76200 time=6.437224e+00 dt=9.105451e-05
elapsed=1.832136e+03 cycle=76300 time=6.446159e+00 dt=8.794095e-05
elapsed=1.842661e+03 cycle=76400 time=6.454825e+00 dt=8.562698e-05
elapsed=1.853203e+03 cycle=76500 time=6.463408e+00 dt=8.628962e-05
elapsed=1.863742e+03 cycle=76600 time=6.472102e+00 dt=8.919944e-05
elapsed=1.874266e+03 cycle=76700 time=6.480887e+00 dt=8.661611e-05
elapsed=1.884769e+03 cycle=76800 time=6.489463e+00 dt=8.542729e-05
elapsed=1.895305e+03 cycle=76900 time=6.498140e+00 dt=8.917758e-05
elapsed=1.905840e+03 cycle=77000 time=6.507153e+00 dt=8.889069e-05
elapsed=1.916362e+03 cycle=77100 time=6.515786e+00 dt=8.505091e-05
elapsed=1.926893e+03 cycle=77200 time=6.524513e+00 dt=8.823736e-05
elapsed=1.937433e+03 cycle=77300 time=6.533658e+00 dt=9.150177e-05
elapsed=1.947965e+03 cycle=77400 time=6.542623e+00 dt=8.821341e-05
elapsed=1.958496e+03 cycle=77500 time=6.551292e+00 dt=8.490108e-05
elapsed=1.968994e+03 cycle=77600 time=6.559582e+00 dt=8.120114e-05
elapsed=1.979507e+03 cycle=77700 time=6.567595e+00 dt=7.885147e-05
