
Root grid = 16 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 4 (5 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=9.077826e-01 cycle=58600 time=5.003257e+00 dt=8.970036e-05
elapsed=3.440129e+00 cycle=58700 time=5.012200e+00 dt=8.954139e-05
elapsed=5.868210e+00 cycle=58800 time=5.021146e+00 dt=8.926084e-05
elapsed=8.593381e+00 cycle=58900 time=5.030075e+00 dt=8.908563e-05
elapsed=1.119509e+01 cycle=59000 time=5.038783e+00 dt=8.598708e-05
elapsed=1.368414e+01 cycle=59100 time=5.047574e+00 dt=8.945765e-05
elapsed=1.635534e+01 cycle=59200 time=5.056742e+00 dt=9.286744e-05
elapsed=1.910014e+01 cycle=59300 time=5.066017e+00 dt=9.267270e-05
elapsed=2.196894e+01 cycle=59400 time=5.075224e+00 dt=9.042896e-05
elapsed=2.456804e+01 cycle=59500 time=5.084055e+00 dt=8.983169e-05
elapsed=2.726423e+01 cycle=59600 time=5.093080e+00 dt=8.981174e-05
elapsed=2.977681e+01 cycle=59700 time=5.101972e+00 dt=8.875759e-05
elapsed=3.232004e+01 cycle=59800 time=5.110929e+00 dt=8.941279e-05
elapsed=3.482591e+01 cycle=59900 time=5.119849e+00 dt=8.879509e-05
elapsed=3.741370e+01 cycle=60000 time=5.128716e+00 dt=8.852367e-05
elapsed=4.018602e+01 cycle=60100 time=5.137650e+00 dt=8.957918e-05
elapsed=4.277997e+01 cycle=60200 time=5.146682e+00 dt=9.114735e-05
elapsed=4.542840e+01 cycle=60300 time=5.155850e+00 dt=9.190905e-05
elapsed=4.817403e+01 cycle=60400 time=5.165016e+00 dt=9.157107e-05
elapsed=5.081909e+01 cycle=60500 time=5.174174e+00 dt=9.020717e-05
elapsed=5.333864e+01 cycle=60600 time=5.182799e+00 dt=8.390396e-05
elapsed=5.573716e+01 cycle=60700 time=5.190937e+00 dt=7.952508e-05
elapsed=5.819025e+01 cycle=60800 time=5.198934e+00 dt=8.659639e-05
elapsed=6.085108e+01 cycle=60900 time=5.207847e+00 dt=9.042146e-05
elapsed=6.351195e+01 cycle=61000 time=5.216848e+00 dt=8.914575e-05
elapsed=6.613867e+01 cycle=61100 time=5.225678e+00 dt=8.758031e-05
elapsed=6.865382e+01 cycle=61200 time=5.234411e+00 dt=8.681701e-05
elapsed=7.108236e+01 cycle=61300 time=5.242792e+00 dt=8.308021e-05
elapsed=7.345326e+01 cycle=61400 time=5.251211e+00 dt=8.330165e-05
elapsed=7.577957e+01 cycle=61500 time=5.259274e+00 dt=8.057678e-05
elapsed=7.817802e+01 cycle=61600 time=5.267575e+00 dt=8.354377e-05
elapsed=8.053584e+01 cycle=61700 time=5.275901e+00 dt=8.246190e-05
elapsed=8.299350e+01 cycle=61800 time=5.284100e+00 dt=8.135628e-05
elapsed=8.537394e+01 cycle=61900 time=5.292115e+00 dt=7.678000e-05
elapsed=8.764461e+01 cycle=62000 time=5.299933e+00 dt=8.033421e-05
elapsed=9.005772e+01 cycle=62100 time=5.308011e+00 dt=8.150288e-05
elapsed=9.305540e+01 cycle=62200 time=5.316196e+00 dt=8.261421e-05
elapsed=9.544957e+01 cycle=62300 time=5.324544e+00 dt=8.376934e-05
elapsed=9.795816e+01 cycle=62400 time=5.332995e+00 dt=8.387386e-05
elapsed=1.003710e+02 cycle=62500 time=5.341156e+00 dt=7.951504e-05
elapsed=1.026681e+02 cycle=62600 time=5.349092e+00 dt=8.013020e-05
elapsed=1.050705e+02 cycle=62700 time=5.357286e+00 dt=8.398948e-05
elapsed=1.077086e+02 cycle=62800 time=5.365801e+00 dt=8.482560e-05
elapsed=1.102212e+02 cycle=62900 time=5.374002e+00 dt=8.143616e-05
elapsed=1.127006e+02 cycle=63000 time=5.382206e+00 dt=8.381183e-05
elapsed=1.151971e+02 cycle=63100 time=5.390769e+00 dt=8.673323e-05
elapsed=1.176539e+02 cycle=63200 time=5.399532e+00 dt=8.970972e-05
elapsed=1.201996e+02 cycle=63300 time=5.408531e+00 dt=8.960181e-05
elapsed=1.228052e+02 cycle=63400 time=5.417521e+00 dt=9.034466e-05
elapsed=1.253044e+02 cycle=63500 time=5.426510e+00 dt=8.955159e-05
elapsed=1.279889e+02 cycle=63600 time=5.435442e+00 dt=8.926676e-05
elapsed=1.308541e+02 cycle=63700 time=5.444388e+00 dt=8.956481e-05
elapsed=1.338266e+02 cycle=63800 time=5.453253e+00 dt=8.780409e-05
elapsed=1.366918e+02 cycle=63900 time=5.461993e+00 dt=8.742724e-05
elapsed=1.391803e+02 cycle=64000 time=5.470777e+00 dt=8.815000e-05
elapsed=1.416198e+02 cycle=64100 time=5.479605e+00 dt=8.862600e-05
elapsed=1.446634e+02 cycle=64200 time=5.488469e+00 dt=8.859596e-05
elapsed=1.475466e+02 cycle=64300 time=5.497367e+00 dt=8.913029e-05
elapsed=1.501724e+02 cycle=64400 time=5.506285e+00 dt=8.945163e-05
elapsed=1.528889e+02 cycle=64500 time=5.515231e+00 dt=8.881441e-05
elapsed=1.553970e+02 cycle=64600 time=5.524116e+00 dt=8.926824e-05
elapsed=1.579122e+02 cycle=64700 time=5.533188e+00 dt=9.215843e-05
elapsed=1.608003e+02 cycle=64800 time=5.542423e+00 dt=9.292761e-05
elapsed=1.637938e+02 cycle=64900 time=5.551812e+00 dt=9.466119e-05
elapsed=1.669917e+02 cycle=65000 time=5.561285e+00 dt=9.398714e-05
elapsed=1.697009e+02 cycle=65100 time=5.570581e+00 dt=9.201626e-05
elapsed=1.726510e+02 cycle=65200 time=5.579749e+00 dt=9.118501e-05
elapsed=1.751592e+02 cycle=65300 time=5.588710e+00 dt=8.754561e-05
elapsed=1.776217e+02 cycle=65400 time=5.597226e+00 dt=8.279603e-05
elapsed=1.801442e+02 cycle=65500 time=5.605790e+00 dt=8.812091e-05
elapsed=1.831807e+02 cycle=65600 time=5.615163e+00 dt=9.795723e-05
elapsed=1.859522e+02 cycle=65700 time=5.624861e+00 dt=9.650306e-05
elapsed=1.889310e+02 cycle=65800 time=5.634428e+00 dt=9.461912e-05
elapsed=1.916134e+02 cycle=65900 time=5.643785e+00 dt=9.340077e-05
elapsed=1.944618e+02 cycle=66000 time=5.653083e+00 dt=9.251777e-05
elapsed=1.970092e+02 cycle=66100 time=5.662117e+00 dt=8.641781e-05
elapsed=1.993327e+02 cycle=66200 time=5.670544e+00 dt=8.419428e-05
elapsed=2.019917e+02 cycle=66300 time=5.679258e+00 dt=9.230569e-05
elapsed=2.053271e+02 cycle=66400 time=5.688490e+00 dt=9.210511e-05
elapsed=2.079162e+02 cycle=66500 time=5.697627e+00 dt=9.037172e-05
elapsed=2.104193e+02 cycle=66600 time=5.706632e+00 dt=8.947671e-05
elapsed=2.128019e+02 cycle=66700 time=5.715404e+00 dt=8.586026e-05
elapsed=2.154792e+02 cycle=66800 time=5.723920e+00 dt=8.505806e-05
elapsed=2.180395e+02 cycle=66900 time=5.732490e+00 dt=8.594614e-05
elapsed=2.206194e+02 cycle=67000 time=5.741030e+00 dt=8.549016e-05
elapsed=2.230105e+02 cycle=67100 time=5.749492e+00 dt=8.476896e-05
elapsed=2.254011e+02 cycle=67200 time=5.757921e+00 dt=8.380390e-05
elapsed=2.277568e+02 cycle=67300 time=5.766308e+00 dt=8.374397e-05
elapsed=2.302968e+02 cycle=67400 time=5.774770e+00 dt=8.533826e-05
elapsed=2.327064e+02 cycle=67500 time=5.783276e+00 dt=8.481164e-05
elapsed=2.352719e+02 cycle=67600 time=5.791727e+00 dt=8.469524e-05
elapsed=2.376417e+02 cycle=67700 time=5.800044e+00 dt=8.302502e-05
elapsed=2.402090e+02 cycle=67800 time=5.808526e+00 dt=8.520044e-05
elapsed=2.426252e+02 cycle=67900 time=5.817156e+00 dt=8.789593e-05
elapsed=2.451060e+02 cycle=68000 time=5.826016e+00 dt=8.911694e-05
elapsed=2.475646e+02 cycle=68100 time=5.834948e+00 dt=8.814199e-05
elapsed=2.498896e+02 cycle=68200 time=5.843435e+00 dt=8.273105e-05
elapsed=2.523542e+02 cycle=68300 time=5.851715e+00 dt=8.359628e-05
elapsed=2.549243e+02 cycle=68400 time=5.859918e+00 dt=8.781581e-05
