
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 2
Number of logical  levels of refinement = 1 (2 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=9.804786e-03 cycle=1545 time=5.000000e+00 dt=3.232007e-03
elapsed=1.409646e-01 cycle=1550 time=5.015990e+00 dt=3.151107e-03
elapsed=2.596045e-01 cycle=1555 time=5.031617e+00 dt=3.090663e-03
elapsed=3.590824e-01 cycle=1560 time=5.046978e+00 dt=3.046160e-03
elapsed=4.648731e-01 cycle=1565 time=5.062144e+00 dt=3.018663e-03
elapsed=5.726073e-01 cycle=1570 time=5.077223e+00 dt=3.014314e-03
elapsed=6.775818e-01 cycle=1575 time=5.092316e+00 dt=3.032346e-03
elapsed=7.739870e-01 cycle=1580 time=5.107592e+00 dt=3.102084e-03
elapsed=8.997476e-01 cycle=1585 time=5.123329e+00 dt=3.185060e-03
elapsed=9.995395e-01 cycle=1590 time=5.139219e+00 dt=3.168096e-03
elapsed=1.122958e+00 cycle=1595 time=5.155035e+00 dt=3.157178e-03
elapsed=1.232728e+00 cycle=1600 time=5.170810e+00 dt=3.153632e-03
elapsed=1.333299e+00 cycle=1605 time=5.186584e+00 dt=3.157407e-03
elapsed=1.439593e+00 cycle=1610 time=5.202392e+00 dt=3.171206e-03
elapsed=1.543764e+00 cycle=1615 time=5.218293e+00 dt=3.195690e-03
elapsed=1.657882e+00 cycle=1620 time=5.234319e+00 dt=3.224676e-03
elapsed=1.763275e+00 cycle=1625 time=5.250568e+00 dt=3.290675e-03
elapsed=1.883428e+00 cycle=1630 time=5.267073e+00 dt=3.311293e-03
elapsed=2.000497e+00 cycle=1635 time=5.283674e+00 dt=3.338029e-03
elapsed=2.108944e+00 cycle=1640 time=5.300446e+00 dt=3.375053e-03
elapsed=2.222150e+00 cycle=1645 time=5.317334e+00 dt=3.380081e-03
elapsed=2.344324e+00 cycle=1650 time=5.334239e+00 dt=3.382472e-03
elapsed=2.462662e+00 cycle=1655 time=5.351152e+00 dt=3.378478e-03
elapsed=2.577367e+00 cycle=1660 time=5.368042e+00 dt=3.367249e-03
elapsed=2.699323e+00 cycle=1665 time=5.384856e+00 dt=3.368160e-03
elapsed=2.812680e+00 cycle=1670 time=5.401753e+00 dt=3.385008e-03
elapsed=2.929361e+00 cycle=1675 time=5.418632e+00 dt=3.357128e-03
elapsed=3.052560e+00 cycle=1680 time=5.435128e+00 dt=3.211288e-03
elapsed=3.156561e+00 cycle=1685 time=5.450934e+00 dt=3.080333e-03
elapsed=3.273169e+00 cycle=1690 time=5.466067e+00 dt=2.946359e-03
elapsed=3.378983e+00 cycle=1695 time=5.480621e+00 dt=2.864837e-03
elapsed=3.488816e+00 cycle=1700 time=5.494796e+00 dt=2.783000e-03
elapsed=3.592634e+00 cycle=1705 time=5.508562e+00 dt=2.714188e-03
elapsed=3.711596e+00 cycle=1710 time=5.522030e+00 dt=2.662743e-03
elapsed=3.823222e+00 cycle=1715 time=5.535248e+00 dt=2.614644e-03
elapsed=3.938234e+00 cycle=1720 time=5.548243e+00 dt=2.580130e-03
elapsed=4.057392e+00 cycle=1725 time=5.561135e+00 dt=2.578190e-03
elapsed=4.174760e+00 cycle=1730 time=5.574030e+00 dt=2.579149e-03
elapsed=4.284291e+00 cycle=1735 time=5.586936e+00 dt=2.588082e-03
elapsed=4.391900e+00 cycle=1740 time=5.599933e+00 dt=2.622589e-03
elapsed=4.501146e+00 cycle=1745 time=5.613154e+00 dt=2.679574e-03
elapsed=4.599556e+00 cycle=1750 time=5.626686e+00 dt=2.742348e-03
elapsed=4.712708e+00 cycle=1755 time=5.640452e+00 dt=2.761914e-03
elapsed=4.820534e+00 cycle=1760 time=5.654280e+00 dt=2.778387e-03
elapsed=4.930424e+00 cycle=1765 time=5.668265e+00 dt=2.829170e-03
elapsed=5.043147e+00 cycle=1770 time=5.682542e+00 dt=2.897357e-03
elapsed=5.152492e+00 cycle=1775 time=5.697187e+00 dt=2.977980e-03
elapsed=5.264516e+00 cycle=1780 time=5.712244e+00 dt=3.047972e-03
elapsed=5.372975e+00 cycle=1785 time=5.727516e+00 dt=3.054097e-03
elapsed=5.480272e+00 cycle=1790 time=5.742756e+00 dt=3.037905e-03
elapsed=5.595909e+00 cycle=1795 time=5.757918e+00 dt=3.026945e-03
elapsed=5.719672e+00 cycle=1800 time=5.773042e+00 dt=3.023485e-03
elapsed=5.818122e+00 cycle=1805 time=5.788177e+00 dt=3.039147e-03
elapsed=5.941163e+00 cycle=1810 time=5.803461e+00 dt=3.082560e-03
elapsed=6.044430e+00 cycle=1815 time=5.818854e+00 dt=3.075458e-03
elapsed=6.154333e+00 cycle=1820 time=5.834249e+00 dt=3.089282e-03
elapsed=6.263634e+00 cycle=1825 time=5.849767e+00 dt=3.128104e-03
elapsed=6.377819e+00 cycle=1830 time=5.865508e+00 dt=3.177961e-03
elapsed=6.491462e+00 cycle=1835 time=5.881476e+00 dt=3.207227e-03
elapsed=6.604734e+00 cycle=1840 time=5.897501e+00 dt=3.199652e-03
elapsed=6.711026e+00 cycle=1845 time=5.913480e+00 dt=3.192001e-03
elapsed=6.810918e+00 cycle=1850 time=5.929440e+00 dt=3.193911e-03
elapsed=6.932588e+00 cycle=1855 time=5.945440e+00 dt=3.214930e-03
elapsed=7.047051e+00 cycle=1860 time=5.961614e+00 dt=3.271681e-03
elapsed=7.152267e+00 cycle=1865 time=5.977961e+00 dt=3.268773e-03
elapsed=7.258274e+00 cycle=1870 time=5.994323e+00 dt=3.280098e-03
