
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 2
Number of logical  levels of refinement = 1 (2 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.918222e-01 cycle=1485 time=5.006747e+00 dt=3.373353e-03
elapsed=5.813371e-01 cycle=1490 time=5.023613e+00 dt=3.373280e-03
elapsed=9.510338e-01 cycle=1495 time=5.040478e+00 dt=3.373493e-03
elapsed=1.322313e+00 cycle=1500 time=5.057345e+00 dt=3.373915e-03
elapsed=1.704421e+00 cycle=1505 time=5.074220e+00 dt=3.377038e-03
elapsed=2.086529e+00 cycle=1510 time=5.091114e+00 dt=3.380048e-03
elapsed=2.457519e+00 cycle=1515 time=5.108014e+00 dt=3.379960e-03
elapsed=2.833795e+00 cycle=1520 time=5.124912e+00 dt=3.378180e-03
elapsed=3.204068e+00 cycle=1525 time=5.141798e+00 dt=3.376458e-03
elapsed=3.584734e+00 cycle=1530 time=5.158677e+00 dt=3.375042e-03
elapsed=3.965854e+00 cycle=1535 time=5.175527e+00 dt=3.365673e-03
elapsed=4.339560e+00 cycle=1540 time=5.192347e+00 dt=3.359266e-03
elapsed=4.708680e+00 cycle=1545 time=5.209115e+00 dt=3.348071e-03
elapsed=5.076824e+00 cycle=1550 time=5.225855e+00 dt=3.345920e-03
elapsed=5.443133e+00 cycle=1555 time=5.242544e+00 dt=3.323008e-03
elapsed=5.827120e+00 cycle=1560 time=5.259127e+00 dt=3.313653e-03
elapsed=6.197901e+00 cycle=1565 time=5.275709e+00 dt=3.321149e-03
elapsed=6.578934e+00 cycle=1570 time=5.292331e+00 dt=3.325473e-03
elapsed=6.945665e+00 cycle=1575 time=5.308945e+00 dt=3.321238e-03
elapsed=7.314670e+00 cycle=1580 time=5.325568e+00 dt=3.332916e-03
elapsed=7.697637e+00 cycle=1585 time=5.342274e+00 dt=3.353813e-03
elapsed=8.072458e+00 cycle=1590 time=5.359076e+00 dt=3.362882e-03
elapsed=8.440488e+00 cycle=1595 time=5.375885e+00 dt=3.361490e-03
elapsed=8.814355e+00 cycle=1600 time=5.392702e+00 dt=3.369402e-03
elapsed=9.179881e+00 cycle=1605 time=5.409568e+00 dt=3.374811e-03
elapsed=9.545211e+00 cycle=1610 time=5.426444e+00 dt=3.375757e-03
elapsed=9.938432e+00 cycle=1615 time=5.443323e+00 dt=3.374596e-03
elapsed=1.030625e+01 cycle=1620 time=5.460178e+00 dt=3.366669e-03
elapsed=1.067861e+01 cycle=1625 time=5.477009e+00 dt=3.367270e-03
elapsed=1.105079e+01 cycle=1630 time=5.493851e+00 dt=3.368780e-03
elapsed=1.142064e+01 cycle=1635 time=5.510687e+00 dt=3.364231e-03
elapsed=1.180558e+01 cycle=1640 time=5.527491e+00 dt=3.356187e-03
elapsed=1.218071e+01 cycle=1645 time=5.544259e+00 dt=3.349879e-03
elapsed=1.254640e+01 cycle=1650 time=5.560998e+00 dt=3.345598e-03
elapsed=1.293222e+01 cycle=1655 time=5.577736e+00 dt=3.349038e-03
elapsed=1.330249e+01 cycle=1660 time=5.594469e+00 dt=3.337607e-03
elapsed=1.369089e+01 cycle=1665 time=5.611113e+00 dt=3.318465e-03
elapsed=1.406065e+01 cycle=1670 time=5.627707e+00 dt=3.324364e-03
elapsed=1.442691e+01 cycle=1675 time=5.644355e+00 dt=3.335395e-03
elapsed=1.480904e+01 cycle=1680 time=5.661045e+00 dt=3.342104e-03
elapsed=1.518192e+01 cycle=1685 time=5.677770e+00 dt=3.348957e-03
elapsed=1.554911e+01 cycle=1690 time=5.694525e+00 dt=3.353822e-03
elapsed=1.593138e+01 cycle=1695 time=5.711304e+00 dt=3.358479e-03
elapsed=1.629626e+01 cycle=1700 time=5.728099e+00 dt=3.359798e-03
elapsed=1.666954e+01 cycle=1705 time=5.744906e+00 dt=3.364095e-03
elapsed=1.703711e+01 cycle=1710 time=5.761734e+00 dt=3.366435e-03
elapsed=1.740357e+01 cycle=1715 time=5.778558e+00 dt=3.363959e-03
elapsed=1.779197e+01 cycle=1720 time=5.795382e+00 dt=3.366891e-03
elapsed=1.816014e+01 cycle=1725 time=5.812226e+00 dt=3.371624e-03
elapsed=1.852557e+01 cycle=1730 time=5.829089e+00 dt=3.373912e-03
elapsed=1.890803e+01 cycle=1735 time=5.845962e+00 dt=3.374879e-03
elapsed=1.928069e+01 cycle=1740 time=5.862837e+00 dt=3.374855e-03
elapsed=1.964668e+01 cycle=1745 time=5.879710e+00 dt=3.374707e-03
elapsed=2.003716e+01 cycle=1750 time=5.896586e+00 dt=3.375744e-03
elapsed=2.040448e+01 cycle=1755 time=5.913464e+00 dt=3.374641e-03
elapsed=2.077384e+01 cycle=1760 time=5.930335e+00 dt=3.372758e-03
elapsed=2.113889e+01 cycle=1765 time=5.947195e+00 dt=3.370191e-03
elapsed=2.150791e+01 cycle=1770 time=5.964038e+00 dt=3.365891e-03
elapsed=2.188470e+01 cycle=1775 time=5.980859e+00 dt=3.361938e-03
elapsed=2.224597e+01 cycle=1780 time=5.997661e+00 dt=3.357403e-03
elapsed=2.261503e+01 cycle=1785 time=6.014448e+00 dt=3.358821e-03
elapsed=2.298006e+01 cycle=1790 time=6.031215e+00 dt=3.343662e-03
elapsed=2.334165e+01 cycle=1795 time=6.047919e+00 dt=3.337830e-03
elapsed=2.370555e+01 cycle=1800 time=6.064613e+00 dt=3.342351e-03
elapsed=2.407518e+01 cycle=1805 time=6.081330e+00 dt=3.343629e-03
