
Root grid = 4 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 4
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.160275e-02 cycle=1200 time=1.002851e+00 dt=8.383250e-04
elapsed=8.706277e-02 cycle=1300 time=1.086109e+00 dt=8.341602e-04
elapsed=1.548539e-01 cycle=1400 time=1.168679e+00 dt=8.223168e-04
elapsed=2.238832e-01 cycle=1500 time=1.250976e+00 dt=8.095564e-04
elapsed=2.919010e-01 cycle=1600 time=1.332654e+00 dt=8.222310e-04
elapsed=3.601336e-01 cycle=1700 time=1.413556e+00 dt=8.050018e-04
elapsed=4.281765e-01 cycle=1800 time=1.494600e+00 dt=8.073233e-04
elapsed=4.965175e-01 cycle=1900 time=1.574953e+00 dt=7.977813e-04
elapsed=5.653190e-01 cycle=2000 time=1.655084e+00 dt=7.924883e-04
elapsed=6.360813e-01 cycle=2100 time=1.734620e+00 dt=7.902927e-04
elapsed=7.039111e-01 cycle=2200 time=1.813740e+00 dt=8.034270e-04
elapsed=7.722895e-01 cycle=2300 time=1.893319e+00 dt=7.928375e-04
elapsed=8.432174e-01 cycle=2400 time=1.972481e+00 dt=7.957204e-04
elapsed=9.133614e-01 cycle=2500 time=2.052712e+00 dt=8.039598e-04
elapsed=9.834382e-01 cycle=2600 time=2.133847e+00 dt=8.165314e-04
elapsed=1.058809e+00 cycle=2700 time=2.214337e+00 dt=8.087473e-04
elapsed=1.134425e+00 cycle=2800 time=2.295039e+00 dt=8.024173e-04
elapsed=1.209668e+00 cycle=2900 time=2.375315e+00 dt=8.075006e-04
elapsed=1.284638e+00 cycle=3000 time=2.455676e+00 dt=7.897570e-04
elapsed=1.363043e+00 cycle=3100 time=2.535474e+00 dt=8.031547e-04
elapsed=1.438945e+00 cycle=3200 time=2.616037e+00 dt=8.089217e-04
elapsed=1.516060e+00 cycle=3300 time=2.696376e+00 dt=8.111356e-04
elapsed=1.594707e+00 cycle=3400 time=2.777260e+00 dt=8.075054e-04
elapsed=1.672482e+00 cycle=3500 time=2.857533e+00 dt=8.049662e-04
elapsed=1.748817e+00 cycle=3600 time=2.938491e+00 dt=8.134207e-04
