
Root grid = 4 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 4
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=3.387610e-03 cycle=0 time=0.000000e+00 dt=8.433365e-04
elapsed=8.590117e-03 cycle=5 time=4.213578e-03 dt=8.405763e-04
elapsed=1.364137e-02 cycle=10 time=8.406119e-03 dt=8.362678e-04
elapsed=1.776220e-02 cycle=15 time=1.258560e-02 dt=8.361419e-04
elapsed=2.176952e-02 cycle=20 time=1.677067e-02 dt=8.382381e-04
elapsed=2.612536e-02 cycle=25 time=2.096443e-02 dt=8.390639e-04
elapsed=2.962567e-02 cycle=30 time=2.515969e-02 dt=8.391037e-04
elapsed=3.306303e-02 cycle=35 time=2.935608e-02 dt=8.394855e-04
elapsed=3.634047e-02 cycle=40 time=3.355305e-02 dt=8.394160e-04
elapsed=3.953670e-02 cycle=45 time=3.775128e-02 dt=8.401008e-04
elapsed=4.325842e-02 cycle=50 time=4.195305e-02 dt=8.405158e-04
elapsed=4.647225e-02 cycle=55 time=4.615570e-02 dt=8.405420e-04
elapsed=4.968589e-02 cycle=60 time=5.035821e-02 dt=8.403301e-04
elapsed=5.289633e-02 cycle=65 time=5.455951e-02 dt=8.402505e-04
elapsed=5.610870e-02 cycle=70 time=5.876113e-02 dt=8.404129e-04
elapsed=5.993666e-02 cycle=75 time=6.296373e-02 dt=8.407280e-04
elapsed=6.313342e-02 cycle=80 time=6.716781e-02 dt=8.408787e-04
elapsed=6.990040e-02 cycle=85 time=7.137229e-02 dt=8.409119e-04
elapsed=7.312455e-02 cycle=90 time=7.557690e-02 dt=8.409450e-04
elapsed=7.636263e-02 cycle=95 time=7.978166e-02 dt=8.408961e-04
elapsed=8.019130e-02 cycle=100 time=8.398608e-02 dt=8.409271e-04
elapsed=8.345212e-02 cycle=105 time=8.819081e-02 dt=8.409118e-04
elapsed=8.669306e-02 cycle=110 time=9.239515e-02 dt=8.407918e-04
elapsed=8.990503e-02 cycle=115 time=9.659884e-02 dt=8.406752e-04
elapsed=9.361771e-02 cycle=120 time=1.008022e-01 dt=8.406801e-04
elapsed=9.683159e-02 cycle=125 time=1.050058e-01 dt=8.408153e-04
elapsed=1.000323e-01 cycle=130 time=1.092102e-01 dt=8.409658e-04
elapsed=1.032367e-01 cycle=135 time=1.134152e-01 dt=8.409939e-04
elapsed=1.066607e-01 cycle=140 time=1.176200e-01 dt=8.408970e-04
elapsed=1.105287e-01 cycle=145 time=1.218242e-01 dt=8.407866e-04
elapsed=1.137464e-01 cycle=150 time=1.260281e-01 dt=8.407643e-04
elapsed=1.169498e-01 cycle=155 time=1.302320e-01 dt=8.408384e-04
elapsed=1.201367e-01 cycle=160 time=1.344364e-01 dt=8.409501e-04
elapsed=1.233169e-01 cycle=165 time=1.386414e-01 dt=8.410480e-04
elapsed=1.270119e-01 cycle=170 time=1.428467e-01 dt=8.411096e-04
elapsed=1.302065e-01 cycle=175 time=1.470524e-01 dt=8.411359e-04
elapsed=1.334320e-01 cycle=180 time=1.512580e-01 dt=8.411247e-04
elapsed=1.366203e-01 cycle=185 time=1.554636e-01 dt=8.410742e-04
elapsed=1.398346e-01 cycle=190 time=1.596688e-01 dt=8.410076e-04
elapsed=1.435122e-01 cycle=195 time=1.638737e-01 dt=8.409546e-04
elapsed=1.467295e-01 cycle=200 time=1.680785e-01 dt=8.409443e-04
elapsed=1.499084e-01 cycle=205 time=1.722833e-01 dt=8.409965e-04
elapsed=1.531029e-01 cycle=210 time=1.764884e-01 dt=8.410792e-04
elapsed=1.567863e-01 cycle=215 time=1.806940e-01 dt=8.411558e-04
elapsed=1.599905e-01 cycle=220 time=1.848998e-01 dt=8.411949e-04
elapsed=1.631893e-01 cycle=225 time=1.891059e-01 dt=8.412201e-04
elapsed=1.663681e-01 cycle=230 time=1.933120e-01 dt=8.412664e-04
elapsed=1.695662e-01 cycle=235 time=1.975185e-01 dt=8.413562e-04
elapsed=1.732687e-01 cycle=240 time=2.017255e-01 dt=8.414803e-04
elapsed=1.764524e-01 cycle=245 time=2.059332e-01 dt=8.416177e-04
elapsed=1.796731e-01 cycle=250 time=2.101416e-01 dt=8.417387e-04
elapsed=1.828801e-01 cycle=255 time=2.143504e-01 dt=8.418191e-04
